,Label,Area,Circ,AR,Round,Hydrogel
1,Stack:QS_14442_Mat,2272588.368,0.901,1.395,0.717,Matrigel
2,Stack:QS_14443_Mat,7348201.058,0.909,1.26,0.793,Matrigel
3,Stack:QS_14443_Mat,7116519.058,0.72,1.024,0.977,Matrigel
4,Stack:QS_14445_Mat,6489706.067,0.768,1.075,0.93,Matrigel
5,Stack:QS_14446_Mat,7544898.082,0.897,1.324,0.755,Matrigel
6,Stack:QS_14447_Mat,7979328.537,0.923,1.131,0.884,Matrigel
7,Stack:QS_14448_Mat,7691024.099,0.931,1.06,0.944,Matrigel
8,Stack:QS_14450_GelMA_10_mg,1810575.838,0.956,1.046,0.956,GelMA (stiff)
9,Stack:QS_14451_GelMA_10_mg,3207406.616,0.964,1.028,0.972,GelMA (stiff)
10,Stack:QS_14452_GelMA_10_mg,1381049.689,0.962,1.083,0.923,GelMA (stiff)
11,Stack:QS_14453_GelMA_10_mg,1430631.476,0.962,1.032,0.969,GelMA (stiff)
12,Stack:QS_14455_GelMACad_10_mg,4163253.933,0.596,2.578,0.388,GelMACad (stiff)
13,Stack:QS_14456_GelMACad_10_mg,4394810.539,0.788,1.508,0.663,GelMACad (stiff)
14,Stack:QS_14457_GelMACad_10_mg,2207327.664,0.889,1.057,0.946,GelMACad (stiff)
1,Stack:QS_14869_GelMA_10_mg,242327.42,0.96,1.06,0.95,GelMA (stiff)
2,Stack:QS_14870_GelMA_10_mg,262488.95,0.96,1.02,0.98,GelMA (stiff)
3,Stack:QS_14871_GelMA_10_mg,209781.04,0.96,1.06,0.94,GelMA (stiff)
4,Stack:QS_14872_GelMA_10_mg,223870.44,0.92,1.08,0.92,GelMA (stiff)
5,Stack:QS_14874_GelMACad_10_mg,725151.33,0.88,1.18,0.85,GelMACad (stiff)
6,Stack:QS_14875_GelMACad_10_mg,334696.82,0.96,1.15,0.87,GelMACad (stiff)
7,Stack:QS_14875_GelMACad_10_mg,326093.36,0.96,1.12,0.89,GelMACad (stiff)
8,Stack:QS_14876_GelMACad_10_mg,296127.03,0.97,1.06,0.95,GelMACad (stiff)
9,Stack:QS_14877_GelMACad_10_mg,373652.59,0.73,1.09,0.92,GelMACad (stiff)
10,Stack:QS_14878_GelMACad_10_mg,245858.33,0.96,1.02,0.98,GelMACad (stiff)
11,Stack:QS_14879_GelMACad_10_mg,270018.98,0.96,1.11,0.9,GelMACad (stiff)
12,Stack:QS_14880_GelMACad_10_mg,314498.75,0.84,1.22,0.82,GelMACad (stiff)
13,Stack:QS_14881_GelMACad_10_mg,336475.98,0.95,1.08,0.93,GelMACad (stiff)
14,Stack:QS_14882_GelMACad_10_mg,495903.06,0.71,2.04,0.49,GelMACad (stiff)
15,Stack:QS_14883_GelMACad_10_mg,422713.87,0.93,1.33,0.75,GelMACad (stiff)
16,Stack:QS_14884_GelMACad_10_mg,309929.42,0.97,1.02,0.98,GelMACad (stiff)
17,Stack:QS_14885_GelMACad_10_mg,317730.47,0.95,1.07,0.93,GelMACad (stiff)
63,Stack:QS_14937_GelMA_4_mg,1078438.36,0.9,1.18,0.85,GelMA (soft)
64,Stack:QS_14938_GelMA_4_mg,314017.61,0.96,1.17,0.86,GelMA (soft)
65,Stack:QS_14939_GelMA_4_mg,371739.44,0.96,1.18,0.85,GelMA (soft)
66,Stack:QS_14940_GelMA_4_mg,571595.41,0.98,1.04,0.97,GelMA (soft)
67,Stack:QS_14942_GelMACad_4_mg,321356.55,0.98,1.03,0.97,GelMACad (soft)
68,Stack:QS_14945_GelMACad_4_mg,534963.13,0.94,1.2,0.83,GelMACad (soft)
69,Stack:QS_14946_GelMACad_4_mg,605877.55,0.85,1.14,0.88,GelMACad (soft)
70,Stack:QS_14947_GelMACad_4_mg,1130292.85,0.74,2.03,0.49,GelMACad (soft)
71,Stack:QS_14949_GelMACad_4_mg,1200194.74,0.8,1.41,0.71,GelMACad (soft)
72,Stack:QS_14950_GelMACad_4_mg,1231520.75,0.89,1.44,0.69,GelMACad (soft)
73,Stack:QS_14951_GelMACad_4_mg,596873.64,0.85,1.15,0.87,GelMACad (soft)
17,Stack:QS_14489_GelMA_4_mg,2300774.193,0.935,1.21,0.826,GelMA (soft)
18,Stack:QS_14489_GelMA_4_mg,2334152.266,0.946,1.171,0.854,GelMA (soft)
19,Stack:QS_14491_GelMA_4_mg,2104657.697,0.584,1.044,0.958,GelMA (soft)
20,Stack:QS_14492_GelMA_4_mg,1877095.128,0.984,1.094,0.914,GelMA (soft)
21,Stack:QS_14494_GelMACad_4_mg,2458055.647,0.959,1.263,0.792,GelMACad (soft)
22,Stack:QS_14495_GelMACad_4_mg,3128083.187,0.869,1.448,0.691,GelMACad (soft)
23,Stack:QS_14496_GelMACad_4_mg,2820454.113,0.965,1.076,0.929,GelMACad (soft)
24,Stack:QS_14497_GelMACad_4_mg,3837888.548,0.952,1.045,0.957,GelMACad (soft)
25,Stack:QS_14498_GelMACad_4_mg,4458088.157,0.763,1.166,0.858,GelMACad (soft)
26,Stack:QS_14499_GelMACad_4_mg,2967945.532,0.976,1.016,0.984,GelMACad (soft)
