First Instance,GelMACad Concentration,BIIIT Layer Thickness meas. 1,BIIIT Layer Thickness meas. 2,BIIIT Layer Thickness meas. 3,BIIIT Layer Thickness meas. 4,Avg BIIT Layer Thickness,Total Area,BIIIT Area,% Area
1,0,27.5,45.753,15.75,28.6,29.40075,251130.66,63260.01,0.25
7,0,49.81,38.421,32.816,25.084,36.5315,215303.77,58220,0.27
13,0,35.27,31.113,16.5,30.82,28.4255,248141.96,52105,0.21
19,33.3,10.14,30.024,22.11,14.676,19.23775,263755.8,44264,0.17
25,33.3,37.66,49.744,20.283,25.132,33.20425,175541.96,55036,0.31
31,33.3,45.58,43.516,30.265,64.984,46.08625,212439.7,66534,0.31
37,33.3,34.22,23.309,38.374,34.523,32.6075,292988.19,83000,0.28
43,33.3,45.1,23.309,30.424,29.883,32.179,229999.22,56757,0.25
49,33.3,28.79,30.205,49.193,23.695,32.97075,208412.82,63984,0.31
79,66.7,39.43,28.936,30.205,28.001,31.6435,267259.96,58293,0.22
85,66.7,31.98,45.753,29.062,27.697,33.622,216058.81,56577,0.26
91,66.7,52.9,34.259,50.957,68.28,51.59975,118969.62,53575,0.45
97,66.7,21.25,26.147,24.424,24.817,24.15825,313910.3,55509,0.18
103,66.7,47.35,27.5,29.062,44.397,37.0775,205784.7,60573,0.29
109,66.7,32.82,27.5,18.732,19.211,24.56475,54785.17,16878,0.31
