Image,Count,Total Area,Average Size,%Area,Feret,Column1,Column2,Column3,Column4,Condition
2024_02_06_GelMA_10_mg01,158,100096.899,633.525,8.604,37.364,501.152,318.715,85.789,23.292,GelMA_HC
2024_02_06_GelMA_10_mg02,168,99894.217,594.608,8.586,36.82,469.702,319.565,73.277,22.971,GelMA_HC
2024_02_06_GelMA_10_mg03,117,90308.671,771.869,7.762,41.123,496.829,328.197,92.635,24.872,GelMA_HC
2023_06_08_GelMA_10_mg01,134,75948.018,566.776,6.528,36.098,470.209,303.134,85.977,22.018,GelMA_HC
2023_06_08_GelMA_10_mg02,43,28375.447,659.894,2.439,38.158,538.605,358.233,80.601,22.777,GelMA_HC
2023_06_08_GelMA_10_mg03,59,38667.589,655.383,3.324,39.108,548.39,338.508,67.927,22.405,GelMA_HC
2023_06_08_GelMA_10_mg04,43,29598.975,688.348,2.544,38.545,462.163,254.023,99.949,22.948,GelMA_HC
2024_02_06_GelMA_4_mg01,79,72074.751,912.339,6.195,45.957,581.342,335.139,90.126,26.514,GelMA_LC
2024_02_06_GelMA_4_mg02,121,79607.446,657.913,6.842,38.069,481.81,293.86,80.722,23.501,GelMA_LC
2023_06_08_GelMA_4_mg01,67,42176.402,629.499,3.625,35.852,388.328,271.672,82.811,22.923,GelMA_LC
2023_06_08_GelMA_4_mg02,70,55211.256,788.732,4.746,39.271,479.4,328.529,79.47,25.06,GelMA_LC
2023_06_08_GelMA_4_mg03,109,72385.281,664.085,6.222,40.168,398.009,319.596,82.027,23.018,GelMA_LC
2024_02_06_GelMACad_10_mg01,107,76132.105,711.515,6.544,39.253,418.785,282.252,78.036,24.234,GelMA-Cad_HC
2024_02_06_GelMACad_10_mg02,107,59346.708,554.642,5.101,35.731,478.009,331.505,93.313,21.298,GelMA-Cad_HC
2024_02_06_GelMACad_10_mg03,144,117644.677,816.977,10.112,42.038,530.778,332.694,89.972,26.127,GelMA-Cad_HC
2023_04_24_GelMACad_10_mg01,82,65596.372,799.956,5.638,43.824,500.378,335.122,107.445,25.029,GelMA-Cad_HC
2023_04_24_GelMACad_10_mg02,113,163240.636,1444.607,14.031,53.308,502.204,330.903,77.886,33.271,GelMA-Cad_HC
2023_04_24_GelMACad_10_mg03,124,100191.732,807.998,8.612,41.005,506.29,347.823,92.981,24.741,GelMA-Cad_HC
2023_04_24_GelMACad_10_mg04,87,72316.482,831.224,6.216,42.579,479.69,328.644,93.948,25.021,GelMA-Cad_HC
2024_02_06_GelMACad_4_mg01,62,98897.544,1595.122,8.501,57.824,553.29,303.887,98.859,33.196,GelMA-Cad_LC
2024_02_06_GelMACad_4_mg02,167,101974.959,610.628,8.765,37.07,565.311,304.042,94.928,23.213,GelMA-Cad_LC
2024_02_06_GelMACad_4_mg03,112,61321.46,547.513,5.271,35.836,460.455,274.25,79.106,21.038,GelMA-Cad_LC
2023_04_24_GelMACad_4_mg01,88,55237.288,627.696,4.748,37.904,492.091,329.25,94.577,23.179,GelMA-Cad_LC
2023_04_24_GelMACad_4_mg02,100,82939.609,829.396,7.129,42.041,513.87,359.29,94.341,24.947,GelMA-Cad_LC
2023_04_24_GelMACad_4_mg03,61,88527.303,1451.267,7.609,52.867,506.492,318.492,89.368,32.533,GelMA-Cad_LC
