Modulus Type,Frequency (Hz),GelMA_HC_4,GelMA_HC_5,GelMA_HC_1,GelMA-Cad_HC_1,GelMA-Cad_LC_3,GelMA-Cad_LC_2,GelMA-Cad_LC_1,GelMA_LC_2,GelMA-Cad_HC_3,GelMA-Cad_HC_2,GelMA_LC_1,GelMA_LC_3,GelMA_LC_d2_2,GelMA-Cad_LC_d2_1,GelMA-Cad_HC_d2_2,GelMA_LC_d2_3,GelMA_HC_d2_1,GelMA_HC_d2_2,GelMA-Cad_HC_d2_1,GelMA-Cad_LC_d2_2
,,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa
Storage,0.1,168.2,145.1,200,152.5,28.97,27.33,62.18,51.13,88.11,69.36,29.74,45.68,129.2,57.08,75.75,52.27,261.6,113.1,137.6,64.47
Storage,0.1259,188.3,136.8,204.7,188.9,53.98,38.64,80.43,77.71,101.8,108.8,43.03,54.51,140.7,78.14,127.2,65.97,297.9,157.4,129.1,77.63
Storage,0.1585,201.1,154.4,221.9,204.7,68.76,40.76,88.72,90.26,110.7,128.7,52.08,59.61,155.9,87.55,142.6,69.9,332.4,173.6,141.9,83.76
Storage,0.1995,209.7,163.8,232,216.7,74.09,47.56,90.95,94.53,114.8,138.9,57.1,62.53,161.6,90.48,144.1,75.47,361.2,181.9,153.1,83.88
Storage,0.2512,215.9,170.3,237.1,214.3,74.04,47.61,95.69,96.85,117,144.2,56.8,64.54,162.1,97.63,151.5,76.49,367.4,188.3,163.8,91.12
Storage,0.3162,224.2,169.8,237.8,219.1,67.62,48.78,94.63,97.99,122.4,146.6,56.16,66.85,165.1,101.9,157.8,81.76,371.7,189.7,173.4,91.79
Storage,0.3981,222.4,172.8,245.5,226,75.52,47.79,95.66,99.47,123.3,152.7,59.43,68.52,164.9,107.5,158.9,83.23,384.1,196.1,177.9,94.29
Storage,0.5012,232.5,176.4,247.6,231.9,75.81,50.31,96.32,99.98,130.2,154.2,60.8,74.35,167,110.4,162,86.86,384.5,198.3,186.1,95.13
Storage,0.631,232.2,180.2,252.4,237.8,75.81,49.98,98.25,102.5,133.7,157.8,61.16,70.44,162.3,113.5,163.3,87.55,389.3,202.9,194.8,96.01
Storage,0.7943,236.3,186.5,254.4,241.1,74.28,51.3,99.14,101.9,139.3,159.8,60.48,74.04,166.9,117.7,173.2,94.46,396.3,204,200.5,97.43
Storage,1,236.8,193.3,262.5,240.6,71.4,50.6,99.8,101.4,145.4,162.7,61.79,69.66,166.5,117.8,166.1,101.1,400.1,210.2,209,94.5
,,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa
Loss,0.1,22.31,20.92,14.63,20.79,4.568,7.866,10.55,11.89,13.22,16.92,10.77,10.84,7.206,12.36,11.63,10.59,54.49,23.21,25.4,9.864
Loss,0.1259,15.41,19.52,17.31,21.65,13.98,7.446,10.88,21.58,14.65,16.64,9.462,8.692,13.34,10.94,14.91,8.273,44.29,17.72,13.37,7.743
Loss,0.1585,12.49,10.74,10.3,21.73,14.92,7.565,9.514,10.14,10.5,21.36,12.68,6.959,10.85,17.91,9.522,5.884,45.77,17.85,13.77,7.034
Loss,0.1995,9.995,12.95,7.177,17.79,10.25,5.394,9.377,9.008,8.712,15.96,6.576,4.233,11.48,10.07,8.741,6.846,32.19,10.33,16,9.08
Loss,0.2512,10.5,-0.7073,10.78,19.99,2.358,5.174,3.249,8.473,6.575,13.13,6.783,3.663,9.234,8.654,11.68,6.876,26.44,10.09,19.07,8.393
Loss,0.3162,12.68,4.387,8.593,17.22,2.451,5.267,4.96,10.03,10.2,13.09,5.841,8.608,8.345,13.04,20.68,7.839,20.19,9.561,18.03,9.323
Loss,0.3981,15.87,11.41,11.29,12.16,10.35,6.291,1.536,8.136,8.241,14.69,5.73,6.086,7.607,7.95,10.75,8.261,26.59,11.02,17.63,10.22
Loss,0.5012,16.98,13.24,8.221,20.11,7.607,5.825,6.253,7.14,11.43,15.02,5.108,9.134,7.281,9.151,10.22,5.533,22.09,12.73,17.49,9.508
Loss,0.631,16.37,12.86,9.725,18.41,7.006,5.287,7.543,9.158,8.88,15.2,8.18,10.33,7.056,11.22,9.75,5.035,17.07,10.42,15.7,6.358
Loss,0.7943,15.56,13.48,9.912,20.97,5.623,6.61,8.899,9.796,12.93,15.46,8.597,9.58,9.067,9.657,10.64,9.034,19.59,14.11,17.85,8.992
Loss,1,16.93,9.794,11.2,25.07,7.976,7.787,5.167,11.38,10.5,16.85,5.641,10.58,11.99,1.288,11.08,8.275,19.4,12.16,19.66,9.985
