Experiment No.,Condition,Organoid,Rep 1,Rep 2,Rep 3,Aveage RG / DAPI area
2,GelMA-Cad HC,GelMaCadHC_org1,0.720898229,0.633510778,,0.677204504
2,GelMA-Cad HC,GelMaCadHC_org3,0.364016131,0.19862113,,0.28131863
2,GelMA-Cad HC,GelMaCadHC_org4,0.234223005,0.29501682,,0.264619913
2,GelMA-Cad HC,GelMaCadHC_org6,0.32508055,0.424704698,,0.374892624
2,GelMA-Cad HC,GelMaCadHC_org7,0.293904435,0.244007748,,0.268956092
2,GelMA HC,GelMaHC_org1,0.393076143,0.526967278,0.322516382,0.414186601
2,GelMA HC,GelMaHC_org2,0.546676369,0.829598546,,0.688137458
2,GelMA HC,GelMaHC_org3,0.274391119,0.283609527,0.251485571,0.269828739
2,GelMA HC,GelMaHC_org4,0.262456033,0.219478609,0.108299596,0.196744746
2,GelMA HC,GelMaHC_org5,0.325010965,0.108571844,,0.216791404
2,GelMA HC,GelMaHC_org6,0.343968009,0.207113373,0.179558342,0.243546575
2,GelMA HC,GelMaHC_org7,0.252584395,0.307806399,0.309198577,0.289863124
2,GelMA HC,GelMaHC_org9,0.36904239,0.573589876,0.615562704,0.519398323
2,GelMA LC,GelMaLC_org1,0.12155513,0.27713149,,0.19934331
2,GelMA LC,GelMaLC_org2,0.161306572,0.394450624,,0.277878598
2,GelMA LC,GelMaLC_org4,0.078088063,0.2555972,,0.166842632
2,GelMA LC,GelMaLC_org5,0.182092149,0.335843101,0.386048426,0.301327892
1,GelMA HC,GelMA_HC_org1,0.023233737,0.242315422,0.049785872,0.105111677
1,GelMA HC,GelMA_HC_org2,0.005971353,0.566303943,0.079623206,0.217299501
1,GelMA HC,GelMA_HC_org3,0.002041671,0.216735315,0.057507598,0.092094862
1,GelMA HC,GelMA_HC_org4,0.000646028,0.237234568,0.107585453,0.11515535
1,GelMA LC,GelMA_LC_org1,0.457764804,0.253317368,0.189456552,0.300179575
1,GelMA LC,GelMA_LC_org2,0.048090015,0.088143458,0.065080301,0.067104591
1,GelMA LC,GelMA_LC_org3,0.136767078,0.219296011,0.219606599,0.191889896
1,GelMA-Cad HC,GelMACad_HC_org1,0.060824065,0.158143252,0.298689614,0.17255231
1,GelMA-Cad HC,GelMACad_HC_org2,0.069679957,0.310667712,0.35645452,0.24560073
1,GelMA-Cad HC,GelMACad_HC_org3,0.47332092,0.092259591,,0.282790256
1,GelMA-Cad LC,GelMACad_LC_org1,0.089091971,0.137454855,0.071029832,0.099192219
1,GelMA-Cad LC,GelMACad_LC_org2,0.123774835,0.324425527,0.170502727,0.206234363
1,GelMA-Cad LC,GelMACad_LC_org3,0.036239148,0.210522299,0.187767996,0.144843148
1,Matrigel,Matrigel_org1,0.025505627,0.074865667,0.034333672,0.044901655
1,Matrigel,Matrigel_org2,0.057542693,0.224019282,0.201412624,0.160991533
1,Matrigel,Matrigel_org3,0.159867488,0.260132372,0.170631674,0.196877178
