Condition,Permeability Coefficient (cm/s),Permeability Coefficient (cm/s * 10^8),Cad,Stiffness
GelMA-Cad HC,0.00000226,226,CAD,HC
GelMA-Cad HC,0.00000186,186,CAD,HC
GelMA-Cad HC,0.00000481,481,CAD,HC
GelMA-Cad HC,0.00000539,539,CAD,HC
GelMA-Cad HC,0.00000422,422,CAD,HC
GelMA-Cad HC,0.00000565,565,CAD,HC
GelMA-Cad LC,0.00000174,174,CAD,HC
GelMA-Cad LC,0.00000193,193,CAD,LC
GelMA-Cad LC,0.0000036,360,CAD,LC
GelMA-Cad LC,0.00000338,338,CAD,LC
GelMA-Cad LC,0.00000403,403,CAD,LC
GelMA-Cad LC,0.00000328,328,CAD,LC
GelMA HC,0.00000901,901,MA,HC
GelMA HC,0.00000817,817,MA,HC
GelMA HC,0.00000461,461,MA,HC
GelMA HC,0.00000422,422,MA,HC
GelMA HC,0.00000285,285,MA,HC
GelMA HC,0.00000416,416,MA,HC
GelMA LC,0.00000341,341,MA,LC
GelMA LC,0.00000144,144,MA,LC
GelMA LC,0.00000289,289,MA,LC
GelMA LC,0.0000033,330,MA,LC
GelMA LC,0.00000321,321,MA,LC
GelMA LC,0.00000322,322,MA,LC
